id,EAP,HPL,MWS
id02310,0.05062804501772047,0.00904989204171582,0.9403220607053895
id24541,0.9860898083278764,0.01121085777219955,0.0026993293800967994
id00134,0.011042492745005286,0.9873059429848393,0.0016515752597638645
id27757,0.8287794489227075,0.1690571501794465,0.0021634000130857953
id04081,0.6441747649201971,0.2654755854194262,0.09034966456153641
id27337,0.956215400397725,0.041127946471535747,0.002656634131760143
id24265,0.9593054936252866,0.02898886248158391,0.011705644638185457
id25917,0.029405847750707825,0.17950788695319436,0.791086265296096
id04951,0.9980105544124204,0.0019520652324053055,3.7389592728151063e-05
id14549,0.6612476158420869,0.212156085955703,0.12659629969232675
id22505,0.02945299723637278,0.022522521013547868,0.9480244571631603
id24002,0.0004309513298241697,0.9993158895070493,0.00025317119464931615
id18982,0.29485627347771465,0.26472098146611583,0.44042274654628744
id15181,0.007290048960121262,0.9921534469394817,0.0005564950665683719
id21888,0.8801349183772406,0.04106493211521908,0.07880012566568195
id12035,0.013803600831366041,0.003097002195575041,0.9830993923164456
id17991,0.12191896712705681,0.009785244293074457,0.8682958139118439
id10707,0.9999076736156761,6.510703284548306e-05,2.721239857460395e-05
id07101,0.45250845819277447,0.10181825400993724,0.4456732728961283
id00345,0.5589426275010194,0.42535756384096574,0.015699802697550502
id05912,0.912553012812871,0.022112667711809735,0.06533431947531987
id13443,0.9312586379347214,0.035589477819764445,0.03315189020597549
id09248,0.3074040223709324,0.05953290801661287,0.6330630874938492
id17542,0.11259530440078373,0.860446953011396,0.026957751528518585
id06995,0.006944352948678981,0.0009508504515846035,0.9921048080550022
id25159,0.705130301651705,0.03060807572217581,0.2642616226261185
id25729,0.3436407098678719,0.6270560784033995,0.02930323557058445
id26949,0.8925990858290372,0.06038871008065273,0.04701220707054145
id27191,0.13995960767766552,0.003651333663048824,0.8563890616395181
id07668,0.09696397019768566,0.0016469130356366664,0.9013891448926181
id02230,0.020397383053952584,0.1865659861427931,0.7930366375087761
